Data,Estado,Mortos,Feridos,Total
31/12/2018,Ohio,3,2,5
29/12/2018,Ohio,1,3,4
28/12/2018,Missouri,4,1,5
24/12/2018,Louisiana,2,2,4
23/12/2018,Missouri,0,7,7
22/12/2018,Nevada,0,4,4
18/12/2018,Maryland,0,5,5
15/12/2018,Florida,0,5,5
14/12/2018,Colorado,1,3,4
13/12/2018,Pennsylvania,0,4,4
11/12/2018,Louisiana,1,3,4
09/12/2018,Wisconsin,0,4,4
09/12/2018,North Carolina,1,3,4
08/12/2018,New York,0,5,5
01/12/2018,Florida,0,5,5
26/11/2018,Tennessee,0,4,4
25/11/2018,Texas,1,6,7
25/11/2018,Alabama,2,2,4
25/11/2018,California,0,4,4
24/11/2018,Florida,2,2,4
23/11/2018,Florida,2,2,4
22/11/2018,Indiana,3,2,5
21/11/2018,Missouri,0,4,4
19/11/2018,Colorado,1,3,4
19/11/2018,Pennsylvania,4,0,4
19/11/2018,Illinois,4,0,4
18/11/2018,California,1,3,4
16/11/2018,Arkansas,3,1,4
16/11/2018,Wisconsin,1,3,4
14/11/2018,Louisiana,3,1,4
13/11/2018,Indiana,2,2,4
13/11/2018,New Mexico,4,1,5
12/11/2018,North Carolina,3,1,4
11/11/2018,Arizona,3,3,5
11/11/2018,Illinois,1,4,5
10/11/2018,Tennessee,2,4,6
07/11/2018,California,13,16,29
03/11/2018,New York,0,5,5
02/11/2018,California,0,4,4
02/11/2018,Florida,3,5,8
01/11/2018,Minnesota,0,5,5
01/11/2018,Missouri,2,2,4
31/10/2018,Michigan,1,3,4
30/10/2018,California,2,3,5
30/10/2018,California,0,5,5
29/10/2018,California,0,7,7
28/10/2018,Arkansas,2,2,4
27/10/2018,Pennsylvania,11,6,17
27/10/2018,Tennessee,0,5,5
26/10/2018,New Jersey,1,3,4
24/10/2018,Illinois,0,5,5
22/10/2018,Illinois,0,6,6
21/10/2018,Florida,0,6,6
21/10/2018,Washington,1,3,4
16/10/2018,Georgia,0,4,4
15/10/2018,Tennessee,5,0,5
14/10/2018,Texas,0,4,4
14/10/2018,California,2,2,4
14/10/2018,Nevada,3,1,4
13/10/2018,Missouri,0,4,4
13/10/2018,Texas,4,1,5
12/10/2018,South Carolina,0,6,6
12/10/2018,Nevada,0,4,4
08/10/2018,Alabama,0,4,4
06/10/2018,Oklahoma,0,4,4
06/10/2018,Texas,1,3,4
06/10/2018,California,0,6,6
04/10/2018,New Mexico,1,3,4
04/10/2018,Georgia,0,4,4
03/10/2018,South Carolina,2,6,8
03/10/2018,Pennsylvania,1,4,5
01/10/2018,Illinois,2,2,4
24/09/2018,Tennessee,3,2,5
21/09/2018,Maryland,4,3,7
20/09/2018,Pennsylvania,1,4,5
20/09/2018,Wisconsin,1,3,4
17/09/2018,Maryland,4,1,5
13/09/2018,California,6,0,6
06/09/2018,Ohio,4,2,6
02/09/2018,California,0,8,8
01/09/2018,Ohio,1,7,8
27/08/2018,Arkansas,1,3,4
26/08/2018,Florida,3,11,14
26/08/2018,Texas,1,3,4
25/08/2018,Tennessee,1,4,5
25/08/2018,Virginia,0,6,6
23/08/2018,Pennsylvania,0,4,4
22/08/2018,Missouri,0,4,4
21/08/2018,Tennessee,0,6,6
20/08/2018,Tennessee,1,4,5
20/08/2018,Ohio,1,3,4
19/08/2018,Illinois,0,5,5
19/08/2018,Michigan,1,3,4
18/08/2018,New Jersey,0,5,5
18/08/2018,New York,0,4,4
17/08/2018,Illinois,0,7,7
15/08/2018,South Carolina,0,5,5
14/08/2018,Pennsylvania,0,5,5
12/08/2018,California,4,1,5
12/08/2018,Pennsylvania,0,4,4
11/08/2018,Ohio,0,4,4
11/08/2018,California,1,4,5
11/08/2018,Colorado,1,3,4
10/08/2018,Missouri,0,4,4
10/08/2018,Michigan,0,4,4
08/08/2018,New Jersey,0,4,4
08/08/2018,Pennsylvania,2,4,6
05/08/2018,Illinois,1,4,5
05/08/2018,Illinois,0,4,4
05/08/2018,Illinois,0,4,4
05/08/2018,Illinois,0,8,8
05/08/2018,Illinois,1,5,6
04/08/2018,Missouri,0,6,6
04/08/2018,Nevada,0,6,6
04/08/2018,Illinois,1,3,4
04/08/2018,Wisconsin,0,4,4
31/07/2018,California,2,3,5
30/07/2018,Georgia,0,4,4
30/07/2018,Illinois,0,4,4
29/07/2018,Pennsylvania,0,4,4
29/07/2018,Arizona,1,4,5
29/07/2018,Michigan,0,4,4
28/07/2018,Louisiana,3,7,10
28/07/2018,California,2,4,6
27/07/2018,Illinois,0,4,4
27/07/2018,Texas,5,0,5
26/07/2018,Ohio,1,6,7
26/07/2018,California,2,2,4
26/07/2018,Texas,0,6,6
25/07/2018,Louisiana,0,4,4
23/07/2018,Illinois,0,5,5
21/07/2018,Maryland,0,4,4
21/07/2018,Illinois,2,5,7
