Potability,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,ph
0,2048904554713360,20791318980747000,7300211873184750,36851644134980300,5643086541722430,103797830780847,869909704615088,29631353806316400,
0,12942292051494400,18630057857970300,6635245883862,,5928853591348520,15180013116357200,5632907628451760,4500656274942400,371608007538699
0,22423625939355700,19909541732292300,9275883602694080,,4186062130644810,16868636929550900,6642009251176360,30559337496641600,8099124189298390
0,21437339408562200,22018417440775200,805933237743854,35688613564305600,3632665161642430,18436524495493300,10034167436508000,4628770536837080,8316765884214670
0,18110150923612500,1797898633892620,6546599974207940,31013573752420400,39841081338184400,11558279443446300,31997992727424700,4075075425430030,9092223456290960
0,1883133237696160,2874868773904610,754486878877965,3266783629116730,2804679159334870,8399734640152750,54917861841994400,25597082275565200,5584086638456080
0,24807173527013900,28749716543528200,75134084658313000,39366339551509600,2836516335078440,13789695317519800,8460355617402350,2672988736934770,10223862164528700
0,20336152258457000,13672091763901600,4563008685599700,3033097711592810,47460764494244800,1236381669870520,62798308962925100,4401424715445480,8635848718500730
0,11898857909025100,14285583854224500,7804173553073090,268646940746221,3893755658712610,1270604896865790,53928845767512200,35950171809576100,
0,22723146923797400,2548450849098780,9077200016914390,40404163468408900,5638854814810940,1792780641128500,7197660103221910,4370561936655490,11180284470721500
0,16552079725952800,32452614409143800,7550700906704110,32662435345560100,42538341949538700,15586810438033100,7874001566430470,36622917828524500,7360640105838250
0,21869330048866600,1876765668181340,8110384501123870,,36409823046204800,14525745697593200,7648591117965150,4011718108339780,7974521648923860
0,15670499334039200,18730813653342700,36060360905057200,2823440504739600,34771502726194300,15929535908825600,795007783369744,3445756223321890,7119824384264550
0,1501749233951360,27331361961927700,6838223470687500,29941578134685800,37976183482577200,19370807181232100,765099955279583,4413974182974900,
0,20534498215818500,2838800488673690,5072557773840630,,4446453523327060,13228311099224500,7030021264692430,4777382337225370,749623220797336
0,18673288066057600,4106523476453930,9629596276480580,3644876872467600,516743281893657,11539781191539400,7507161728663770,4376348290691890,6347271760539310
0,21104940606054500,30980600786788800,10094796011661400,,3151412672443020,2039702184072240,5665160378979330,4268428857506180,7051785800016840
0,27381380665980000,2404132628006120,6904989726470090,3983505168222770,4779746418621770,13387340780225500,714573622129516,4503660796179120,9181560007151530
0,27935716677009200,19460398131232100,6204320858892470,,43144398999034800,1288875905430390,6382123709666390,24360855903052700,8975464347533960
0,21449661045715600,25630320036999700,4432669290372120,33575443859606500,46991455147923500,12509163940498600,6279727715266120,25602991476149100,7371050302429530
0,22743504835115500,2230556741374140,10333917888218600,,5548200864605430,1633169328269440,45382815177870900,413342264357917,
0,16828374685651800,30944363591242600,5858769130547580,31093085831787800,5236712975009440,1788423519296480,770423180517003,37497012410996100,6660212026118100
0,21597785868806700,17107224225827600,5607060453087120,326943977743867,43625619397264900,14189062206123700,5985547582615380,5459250956028730,
0,1969032467083200,21167500098968700,6996311586298760,,44447888250689700,16609033155789900,901816758847452,4528522696326910,3902475685915090
0,14073906225113900,17266593421923000,10056852484033400,3283582406986830,4728740732754290,11256381166909400,569319064457562,4824786389767520,5400301780729460
0,19876735125945600,21218702871190100,867093691991312,3235963490101310,4132904500885340,14899999566696900,7984784281372550,5200885076539750,6514415093251670
0,20792626018799300,334247686784948,8782147480773480,38400700580172100,4417858756739380,1380590221127070,30284597198002700,4184396969028850,34450618643852100
0,14576818060217200,13224935638976900,7906444720606130,3040019927974150,29899066649993200,12729524720542200,49536848802021800,4004871127571580,
0,2664210180681170,26362965012309300,7700063469729120,39538949034184500,36448010670373700,1034895075743780,5300838135392040,39915642477993000,
0,14815306144508600,1519341347396720,904683270725723,30701179262256500,5638047433250860,1656865556799740,5267618503420980,60381849531835800,
0,20962560053629000,15196229987483800,5994678646449970,3383364310774870,3421112862851920,792259833302262,715379532557936,5088859989138790,7181448580829170
0,1907566182870040,19677892465552000,6757540731413940,,4528362348772380,168990378000164,47081971185777600,2857472426051180,982548990813439
0,11779122955039600,22326892045718600,8161504810728330,30770750861182400,4129868337903320,12890708564511700,6573347838938280,5057310516515720,10433290982804300
0,23504453448737100,32555852537073600,68459520238449000,3871753164773560,411983364167012,10244815068359700,4448929725226030,3160624468232630,7414148196336240
0,23228045202353200,14787206264858100,5474914831733120,,3839817230247570,1216693714505160,8608072748444090,5029166724080730,
0,19195274297485800,19620545328612100,6060712994989320,3238363839136290,44174837932486800,1096648615295340,4923823132273560,39020887676437500,5115817063771210
0,18390872226182600,24752072459755400,5538314133481360,2860595560492710,4568600959410410,903406675271333,735946567566564,34643530351550200,3641629777473380
0,30423591211231600,1728197516841160,6101083505101920,,39947156628109400,12265001577513600,8158899245649900,28965469413044700,5618064405909140
0,14345373131192300,19942273218184800,589075458310612,,4271306714819020,2246989198835690,5312409421895880,290756391519334,
0,19861439471909500,24683723566029600,6110612421393190,32807753320146900,39687694905791700,16471969353155100,30383314574642000,4324004645618280,9267187530763540
0,23385899569121200,11703923907047800,4599387943421720,30903932035276000,3493996325323040,1833889254980600,4267746528271930,3510004044590520,
0,19487406544579900,16658876503163500,7993829562375310,31667516182816600,3351203984374610,10180513802631500,5957271371122680,4434820257956540,5331940479018530
0,23868992851166000,28780340431632700,681402870120907,3859756504867890,3320327063306850,11093163397452600,6613804474710010,5182590703980220,7145771545218820
0,2028174830014260,9973934059208530,6882248306781500,33735052910963700,33319246993768000,23917601261274900,71833623959766,469070723013249,9920691058768150
0,18334945410599700,21568428779035800,4731348984614180,,4039441682092020,1866822945752120,6691240003430590,4542801461749170,4758439424671470
0,21685047387261500,3560644017680790,71843510891688,,50463826042575000,16140790019197900,7753618351780300,4137739016206600,5702925976824720
0,2096382929790200,1057518628088930,4462707246137980,31560659440039200,39118431508600500,1328533391608590,8739088897956330,3195710328196260,6953864225511050
0,1733754983501200,15758740621388900,5570783575394450,30735258576592600,3238079132465800,100908697516698,7847278445385450,39997753815500600,1068296642580590
0,12989057234567300,34415853145873000,6321928990361130,3045352242338830,4703291685421980,1859940992382120,7240363386888090,440558600033858,
0,20019140044205700,21536224687445400,4915101054543180,31788290049783700,4047177991564450,13768323306421300,47930871877110200,36261354416122300,8757257397440990
0,16838843077429500,2749230730658780,7046224797696410,2998204779108210,38379501999032500,1618206649367430,7572943388991450,30480572231069700,
0,1004576150915830,12013550628764500,5212314602065350,2472008260476430,6052201243500050,9611348740011230,6608417363713340,2447444463910630,780963189801941
0,1450101719190830,19871788448305800,4961066380191500,2880521917368510,545974993762403,10942024256012100,717274140605346,37420904263496600,6652488090855700
0,21171414177764100,11920610835646200,72307947693374,3397519188007930,5277089100130400,1827531210927760,4763488493437150,37945315911032100,9147197055336920
0,18189336556155300,21783651033363300,6991259996238130,34039037835517200,4565564021223430,1648283536696390,342520490783523,39646863500221200,10560744636218100
0,26009217257337100,30616615148853600,9379133540507620,,40467077732816200,15934483871207000,666210265451665,4781188176562560,7484254837727460
0,23833511245550900,287796500110336,8282808464509600,3816493228718940,4813188026886130,6016336609271200,3909117136225330,39406045297946800,8520806572970300
0,19028705014936000,24323865903045900,7230164126862030,3248930378422550,4053304820275900,8236557503105300,9942738491828500,4460683931737430,4999413810796910
0,15780119355420400,16963625011737400,8335618549876710,30004423428111200,36099599448807400,12823860949370700,717170050975215,44053857056590300,
0,15505572682593400,20557240431752200,8187319049670320,,29018098311050500,16622255183892000,59622057462107900,4089907689677860,
0,2334028350124750,32144799933618300,69948396173050900,3483594482139760,2694490512269390,96541256002684,6374306384016440,3902879711657460,39060783549561600
0,2130178296827950,20965478308853500,5375559891974680,32765054252170700,3693381209158560,13758105170743700,17915722569180700,392374916929651,6391353623832180
0,22948569367886000,35729692708630300,8810843045016390,38494377894842000,2963975472430130,1692709217980680,,38556022119166900,
0,1951437387840540,24656239679444500,823190033837729,,3983454180035160,12380770792752300,48440724865546800,4477960248233930,8692092012708040
0,12773967382937200,32653910360267500,6534237410114920,,41623963007040100,11119659254793700,7827505003771150,4068688909481660,8085759800882210
0,21230661828668600,2181507414790550,7873991884545460,,36210800431396200,149330126610987,6387381994728530,5215689206119030,62039777022783400
0,23856938041349900,348739345228707,8983276144386590,37443350451685600,669725086180179,13353181433963500,7652179974552390,5106655774420080,5058108868565130
0,10346475866009400,2742016742458200,8417305032089520,,48597450045781300,11351132730708500,678699636759021,4620793451653210,
0,21120052600889700,12830484133775400,4502117033961810,3269615175657500,3333298479586670,1604514847686680,4989840563542830,34397400415499100,
0,17988978823788400,24964777703096500,5837086492837430,34926927130145600,50118278074341,17287713278296300,50993006453081000,3636364182680490,7261550522070710
0,1830893100379280,6743346065530400,38030364235979800,2775990986210590,4280363443504030,979962468961304,9003537367362070,38848910441472700,716046723080874
0,11629932988379500,3322358152874990,7050503159576970,2970781534785210,50437868096765400,9001820487566130,481470312534892,4157533407489730,5704764776213010
0,13094446388846500,1946038281898750,70924629553053600,30013127199830300,5566537100333970,14083608352195400,57897074706807600,5325833445695800,621727313516034
0,24222866728551900,2298405095148240,75187646593999000,,35294258812349000,18704409059274800,6990790244915210,3873470298448300,8679934969964180
0,21930091421337000,1485946642428360,5598326765629250,3444423936728910,42521357480761200,15771834366058200,49352001477804400,4655916598688820,
0,21136016672106100,25650777643120200,6766009906754590,,3830143101678530,1393478804138060,9052332986300930,5022783630004570,6897322141100190
0,15873207576140100,23029663613563600,6821679099461130,2865228468169780,3073791420351910,971223191091832,7985092857457240,3762615331099360,3514545528745270
0,16363974692058100,3796216799126100,66845702741913400,32669401786030200,4675629728711810,14567268860188200,5057797909828090,36628377319913500,372250048593372
0,17668397277687000,24468048390354500,5756930038692850,31479959828380900,47758134615570200,16245504341610600,5772972382844000,22934314064128600,6455004797496710
0,2175228619622910,31903399811532200,9865047502682180,37693797230566500,4259134001802690,8992754272254670,6950921982211520,3508372649783590,7316804753880910
0,2337643427207260,28689595777682900,7724432299963910,,41038726383770800,15611859296305200,5429944409418920,5013463351103730,1844538366498840
0,16872858303956700,1253160192106470,773072294792503,,4435703720974920,18099078103861500,,3758995860323910,5519125656437600
0,20496174981089400,9566122270169190,6505923138805980,3114526625117480,50414599408386600,11532144007741200,8110693773146240,3772420927989510,7408985466924610
0,2589527320159530,27267981860954100,7648599331443450,3836571521070960,514118920118766,12256790251190300,8246979842996720,29946710955082100,5976769618087590
0,1338342291043790,23827275015402800,51277468613272,2669084282807840,5734002951499590,9833874584580250,9502660927984370,4191217514711700,6395359131671060
0,19541772094898100,13116707711787000,7879347670859670,,41724165602634800,7507662314515300,7054738690612050,36125196149467100,6209642259708480
0,2320751765558760,27159384345233500,7884990657868600,3504452926972010,4654137746213490,13863964882331100,6481225738319590,4916579160751280,6762832521891730
0,19918125107339000,21470278305413200,6799841410225560,32917842902607600,4305077068652860,15966042944362000,5929227326975210,3385508443856710,991871706385417
0,30029247579584000,12652362978658000,6655126362567490,39864778574595700,48745913103075500,9347633986485670,679197886870381,5002467259922080,1015544017022190
0,20636968238478300,28608052076372500,6325442403664850,37740453818519900,50693835272982500,13553751007248500,42381483937537100,25550269039968700,8721726710620580
0,1979797828412590,17153306163452000,7659203939381070,3292803146030720,5751146944234240,11870981482343300,6910983568283250,4383921813522320,
0,1991078855640330,29721911630350100,6869690215355930,35730322096748000,42070959122207200,9226618665284830,5529428326667220,3355164642176150,
0,2379199267632530,2041684099619070,8457830699274370,,2911048365690670,1927005426046370,9313800948154010,31727897691528700,6099646705468380
0,25321707417098400,2796507214592840,6588374366182630,3735532353383940,5883196505363990,16145732052775000,5912445084811040,20190420182011600,9026787719511630
0,2031465467521770,11609109054527700,5495737654707860,3042831932144030,5511433371665810,9387781275530810,5595800559485760,3651865808422890,6953371603389540
0,19787608974936600,2668787448333390,7587196417947500,32923185293501800,5480727613161170,15836330205236100,4126364788367690,5359460295012960,6140877556947860
0,22067053960676500,23873378210133600,6181839616382840,34198723407838300,3330507859433450,10661798937603900,9029777033020960,4764508264921440,7077874006530450
0,13580236170060900,21485153195191000,818741579072919,2806032866703190,4413311374586930,1486026268337490,8828734556180850,5066786271784540,5488314309012510
0,12032761534360800,24627867560468900,6202469332114020,2897686965533280,4184332899200770,13643147085869300,6373373237019640,3710053125679870,7205559174588720
0,1632748282557010,20868331218998800,7726040434165080,3204214321786770,4269943931689400,10214274603240600,62430926156839800,31087699879134500,9177869865892430
0,16683770854028500,24405250534952700,73915101384206500,29720673916830300,3495189103676480,13478526445498800,5447483954440160,3763905902952320,4270716194733730
0,22326493973020700,11519046527356500,8889558679820600,,4941584340869630,18145374253777100,7371552201680900,4880875156180850,7348844511550610
0,17561283632174300,1183712335960840,7483708837987370,30839851553828500,474240482290634,21845916252542000,5237220110667480,5083014141516920,8526169869777780
0,16904191749811700,361528208993245,8330388898197660,32903971017616400,5907487871802910,17695114357126000,10315046264537800,3995973787492760,
0,18880412573040800,3479825258680310,679643915408815,,4680802666084350,13170763209203300,49523769983067600,4765205370159000,2612035914817260
0,20412364839335700,22989796389946600,827079293672615,35884711499708400,4350008983082290,17084245654876100,6242163705791020,38755568051367700,8490571562027730
0,21354193229259000,2253971161451210,69572041785868600,3340411862066900,46339884709083700,11623019157977600,6961584964492820,33985925873166500,
