Price_euros,Company,Ram,Memory,Cpu,Gpu,Inches,Weight
1339.69,Apple,8GB,128GB SSD,Intel Core i5 2.3GHz,Intel Iris Plus Graphics 640,13.3,1.37kg
898.94,Apple,8GB,128GB Flash Storage,Intel Core i5 1.8GHz,Intel HD Graphics 6000,13.3,1.34kg
575.00,HP,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,1.86kg
2537.45,Apple,16GB,512GB SSD,Intel Core i7 2.7GHz,AMD Radeon Pro 455,15.4,1.83kg
1803.60,Apple,8GB,256GB SSD,Intel Core i5 3.1GHz,Intel Iris Plus Graphics 650,13.3,1.37kg
400.00,Acer,4GB,500GB HDD,AMD A9-Series 9420 3GHz,AMD Radeon R5,15.6,2.1kg
2139.97,Apple,16GB,256GB Flash Storage,Intel Core i7 2.2GHz,Intel Iris Pro Graphics,15.4,2.04kg
1158.70,Apple,8GB,256GB Flash Storage,Intel Core i5 1.8GHz,Intel HD Graphics 6000,13.3,1.34kg
1495.00,Asus,16GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,14,1.3kg
770.00,Acer,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,14,1.6kg
393.90,HP,4GB,500GB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,1.86kg
344.99,HP,4GB,500GB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,1.86kg
2439.97,Apple,16GB,256GB SSD,Intel Core i7 2.8GHz,AMD Radeon Pro 555,15.4,1.83kg
498.90,Dell,4GB,256GB SSD,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,15.6,2.2kg
1262.40,Apple,8GB,256GB SSD,Intel Core M m3 1.2GHz,Intel HD Graphics 615,12,0.92kg
1518.55,Apple,8GB,256GB SSD,Intel Core i5 2.3GHz,Intel Iris Plus Graphics 640,13.3,1.37kg
745.00,Dell,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,AMD Radeon R5 M430,15.6,2.2kg
2858.00,Apple,16GB,512GB SSD,Intel Core i7 2.9GHz,AMD Radeon Pro 560,15.4,1.83kg
499.00,Lenovo,8GB,1TB HDD,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 940MX,15.6,2.2kg
979.00,Dell,8GB,128GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.22kg
191.90,Asus,2GB,32GB Flash Storage,Intel Atom x5-Z8350 1.44GHz,Intel HD Graphics 400,11.6,0.98kg
999.00,Lenovo,8GB,128GB SSD +  1TB HDD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,15.6,2.5kg
258.00,HP,4GB,500GB HDD,AMD E-Series E2-9000e 1.5GHz,AMD Radeon R2,15.6,1.86kg
819.00,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.62kg
659.00,HP,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel HD Graphics 620,15.6,1.91kg
418.64,Dell,4GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2.3kg
1099.00,Apple,8GB,128GB Flash Storage,Intel Core i5 1.6GHz,Intel HD Graphics 6000,13.3,1.35kg
800.00,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,15.6,2.2kg
1298.00,Dell,8GB,256GB SSD +  256GB SSD,Intel Core i7 8650U 1.9GHz,Intel UHD Graphics 620,15.6,1.88kg
896.00,HP,8GB,1TB HDD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,17.3,2.5kg
244.99,Chuwi,4GB,64GB Flash Storage,Intel Atom x5-Z8300 1.44GHz,Intel HD Graphics,15.6,1.89kg
199.00,Asus,2GB,32GB Flash Storage,AMD E-Series E2-6110 1.5GHz,AMD Radeon R2,14,1.65kg
439.00,HP,4GB,500GB HDD,AMD A6-Series 9220 2.5GHz,AMD Radeon 530,17.3,2.71kg
1869.00,Dell,16GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.2kg
998.00,Apple,8GB,256GB Flash Storage,Intel Core i5 1.6GHz,Intel HD Graphics 6000,13.3,1.35kg
249.00,Lenovo,4GB,64GB Flash Storage,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,14,1.44kg
367.00,Acer,4GB,1TB HDD,Intel Core i3 7130U 2.7GHz,Intel HD Graphics 620,15.6,2.1kg
979.00,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,17.3,2.8kg
488.69,HP,4GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,1.86kg
879.00,HP,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,15.6,2.1kg
389.00,Asus,4GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 620,15.6,2kg
1499.00,Dell,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,15.6,2.65kg
522.99,Asus,8GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,15.6,2.3kg
682.00,Acer,4GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,15.6,2.2kg
999.00,Dell,12GB,1TB HDD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 150MX,17.3,2.77kg
1419.00,Apple,8GB,256GB SSD,Intel Core i5 2.0GHz,Intel Iris Graphics 540,13.3,1.37kg
369.00,Lenovo,4GB,128GB SSD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2.2kg
1299.00,Asus,8GB,256GB SSD +  1TB HDD,AMD Ryzen 1700 3GHz,AMD Radeon RX 580,17.3,3.2kg
639.00,Dell,4GB,256GB SSD,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M430,15.6,2.3kg
466.00,Asus,4GB,1TB HDD,Intel Pentium Quad Core N4200 1.1GHz,Nvidia GeForce 920MX,17.3,2.8kg
319.00,Lenovo,4GB,64GB Flash Storage,Intel Atom x5-Z8550 1.44GHz,Intel HD Graphics 400,10.1,0.69kg
841.00,Acer,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,15.6,2.2kg
398.49,HP,4GB,256GB SSD,AMD A6-Series 9220 2.5GHz,AMD Radeon R4 Graphics,15.6,1.86kg
1103.00,HP,8GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.49kg
